model_id,algorithm_id,mean_test_accuracy,mean_test_precision_micro,mean_test_precision_macro,mean_test_precision_weighted,mean_test_recall_micro,mean_test_recall_macro,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_micro,geometric_mean_score_macro,geometric_mean_score_weighted,matthews_corrcoef,f5_micro,f5_macro,f5_weighted,f1_micro,f1_macro,f1_weighted,f2_micro,f2_macro,f2_weighted,log_loss
11,1,0.8801909308,0.8801909308,0.5382364024,0.8206269365,0.8801909308,0.503769697,0.8801909308,0.5756,0.8983293556,0.5379757576,0.399453627,0.1992894281,0.8983293556,0.5935399729,0.8508216359,0.8983293556,0.5452655586,0.8617989194,0.8983293556,0.5366469116,0.8823697052,0.2347151055
12,1,0.8811455847,0.8811455847,0.5676447217,0.8271851851,0.8811455847,0.5063090909,0.8811455847,0.5760727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,1,0.8911694511,0.8911694511,0.5676716476,0.8265244289,0.8911694511,0.5018787879,0.8911694511,0.5756727273,0.8964200477,0.5088242424,0.3296537599,0.1108820528,0.8964200477,0.4994097053,0.8281001089,0.8964200477,0.4904133389,0.849740132,0.8964200477,0.4998291535,0.8768296876,0.2484885864
14,1,0.8902147971,0.8902147971,0.5619069421,0.8252340423,0.8902147971,0.5013454545,0.8902147971,0.5767757576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,1,0.8892601432,0.8892601432,0.5767141325,0.8291678131,0.8892601432,0.506830303,0.8892601432,0.5710787879,0.8949880668,0.5140424242,0.3451376991,0.1056778584,0.8949880668,0.5212938253,0.8329253731,0.8949880668,0.5021086654,0.8514989982,0.8949880668,0.5069979688,0.8765867867,0.2602624057
16,1,0.8892601432,0.8892601432,0.5933338368,0.8329603285,0.8892601432,0.5088363636,0.8892601432,0.5719393939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,1,0.8949880668,0.8949880668,0.5478730393,0.822684438,0.8949880668,0.5040121212,0.8949880668,0.5732787879,0.8949880668,0.5040121212,0.3180660753,0.0563519573,0.8949880668,0.4785064915,0.8230416345,0.8949880668,0.4811928175,0.8472169424,0.8949880668,0.4938742298,0.8750867027,0.2718342782
18,1,0.8949880668,0.8949880668,0.6315855927,0.8408652217,0.8949880668,0.5080242424,0.8949880668,0.5743333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,1,0.8940334129,0.8940334129,0.5813457846,0.8299347775,0.8940334129,0.5054848485,0.8940334129,0.5708969697,0.8945107399,0.5057515152,0.3234978521,0.0611096749,0.8945107399,0.4876096875,0.8250288886,0.8945107399,0.485332942,0.8478539567,0.8945107399,0.4963048629,0.8750146241,0.2815518672
20,1,0.8945107399,0.8945107399,0.6384186273,0.8425631754,0.8945107399,0.5097636364,0.8945107399,0.5722242424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,1,0.8945107399,0.8945107399,0.6478467695,0.8436398021,0.8945107399,0.5037454545,0.8945107399,0.5674848485,0.8954653938,0.5022727273,0.3125338695,0.0637971028,0.8954653938,0.4684331755,0.8208508085,0.8954653938,0.4769360736,0.8465550837,0.8954653938,0.4914243011,0.8751543645,0.2901272155
